CURVE,X,Y
41,299,213.5
4064,0,0.5
4064,1,0.5
4064,10,4.8
4064,20,9.6
4064,30,14.3
4064,70,33.5
4064,80,38.2
4064,120,57.4
4064,130,62.1
4064,170,81.3
4064,180,86
4064,220,105.2
4064,230,109.9
4064,270,129.1
4064,280,133.8
4064,290,138.6
4064,299,142.9
3317,0,0.5
3317,1,0.5
3317,10,5.2
3317,20,10.4
3317,30,15.7
3317,70,36.5
3317,80,41.8
3317,120,62.6
3317,130,67.9
3317,170,88.7
3317,180,94
3317,220,114.8
3317,230,120.1
3317,270,140.9
3317,280,146.2
3317,290,151.4
3317,299,156.1
2553,0,0.5
2553,1,0.5
2553,10,4.8
2553,20,9.6
2553,30,14.3
2553,70,33.5
2553,80,38.2
2553,120,57.4
2553,130,62.1
2553,170,81.3
2553,180,86
2553,220,105.2
2553,230,109.9
2553,270,129.1
2553,280,133.8
2553,290,138.6
2553,299,142.9
4319,0,0.5
4319,1,0.5
4319,10,4.8
4319,20,9.6
4319,30,14.3
4319,70,33.5
4319,80,38.2
4319,120,57.4
4319,130,62.1
4319,170,81.3
4319,180,86
4319,220,105.2
4319,230,109.9
4319,270,129.1
4319,280,133.8
4319,290,138.6
4319,299,142.9
4145,0,0.5
4145,1,0.5
4145,10,4.8
4145,20,9.6
4145,30,14.3
4145,70,33.5
4145,80,38.2
4145,120,57.4
4145,130,62.1
4145,170,81.3
4145,180,86
4145,220,105.2
4145,230,109.9
4145,270,129.1
4145,280,133.8
4145,290,138.6
4145,299,142.9
5172,0,0.5
5172,1,0.5
5172,10,4.8
5172,20,9.6
5172,30,14.3
5172,70,33.5
5172,80,38.2
5172,120,57.4
5172,130,62.1
5172,170,81.3
5172,180,86
5172,220,105.2
5172,230,109.9
5172,270,129.1
5172,280,133.8
5172,290,138.6
5172,299,142.9
620,0,0.5
620,1,0.5
620,10,4.8
620,20,9.6
620,30,14.3
620,70,33.5
620,80,38.2
620,120,57.4
620,130,62.1
620,170,81.3
620,180,86
620,220,105.2
620,230,109.9
620,270,129.1
620,280,133.8
620,290,138.6
620,299,142.9
4945,0,0.5
4945,1,0.5
4945,10,4.8
4945,20,9.6
4945,30,14.3
4945,70,33.5
4945,80,38.2
4945,120,57.4
4945,130,62.1
4945,170,81.3
4945,180,86
4945,220,105.2
4945,230,109.9
4945,270,129.1
4945,280,133.8
4945,290,138.6
4945,299,142.9
1332,0,0.5
1332,1,0.5
1332,10,4.8
1332,20,9.6
1332,30,14.3
1332,70,33.5
1332,80,38.2
1332,120,57.4
1332,130,62.1
1332,170,81.3
1332,180,86
1332,220,105.2
1332,230,109.9
1332,270,129.1
1332,280,133.8
1332,290,138.6
1332,299,142.9
4160,0,0.5
4160,1,0.5
4160,10,4.8
4160,20,9.6
4160,30,14.3
4160,70,33.5
