CURVE,X,Y
29,120,692
29,130,673
29,140,652
2,0,1
7,0,1
7,5,1
7,6,0
447,0,0
212,0,0
212,20,0
212,30,0.1
212,40,2.2
212,50,6.5
212,60,11.3
212,70,16.3
212,80,21.1
212,90,25.4
212,100,29.8
212,110,33.9
212,120,37.5
212,130,40.6
212,140,43.3
212,160,48.5
212,170,50.9
212,180,52.9
212,190,54.7
212,200,56.2
212,210,57.8
212,230,60.4
212,250,62.6
212,270,64.4
212,290,65.8
211,0,0
211,20,0
211,30,0.2
211,40,4.4
211,50,13
211,60,22.6
211,70,32.5
211,80,42.2
211,90,50.8
211,100,59.7
211,110,67.8
211,120,75
211,130,81.2
211,140,86.6
211,150,91.9
211,160,97
211,170,101.7
211,180,105.8
211,190,109.3
211,200,112.5
211,210,115.5
211,220,118.3
211,230,120.8
211,240,123.1
211,250,125.2
211,260,127.1
211,280,130.3
211,290,131.5
157,0,0
157,20,0
157,30,0.1
157,40,2.6
157,50,7.2
157,60,12.3
157,70,17.5
157,80,22.6
157,100,31.8
157,110,36
157,120,39.7
157,130,42.9
157,140,45.7
157,150,48.6
157,160,51.2
157,170,53.6
157,180,55.7
157,190,57.5
157,200,59.2
157,220,62.2
157,230,63.5
157,240,64.7
157,260,66.7
157,270,67.6
157,280,68.4
157,290,69
145,0,0
145,20,0
145,30,0.2
145,40,4.6
145,50,13
145,60,22.1
145,70,31.6
145,80,40.7
145,90,48.9
145,100,57.3
145,110,64.8
145,120,71.5
145,130,77.2
145,150,87.4
145,160,92.2
145,170,96.5
145,180,100.2
145,190,103.4
145,200,106.5
145,210,109.3
145,220,111.9
145,230,114.3
145,240,116.4
145,250,118.3
145,260,120.1
145,270,121.7
145,290,124.3
213,0,0
213,20,0
213,30,0.6
213,40,15.4
213,50,45.4
213,60,78.9
213,70,113.8
213,80,147.8
213,90,178
213,100,208.9
213,110,237.1
213,120,262.4
213,130,284.1
213,140,303.1
213,150,321.5
213,160,339.7
213,170,355.9
213,180,370.2
213,190,382.5
213,200,393.8
213,210,404.2
213,220,413.9
213,230,422.7
213,240,430.8
213,250,438.2
213,260,444.7
213,270,450.5
213,280,455.9
213,290,460.4
201,0,0
201,20,0
201,30,0.5
201,40,13.4
201,50,39.6
201,60,68.8
201,70,99.2
201,80,128.8
201,90,155.1
201,100,182
201,110,206.7
201,120,228.7
201,130,247.6
201,140,264.1
201,150,280.2
201,160,296
201,170,310.2
201,180,322.6
201,190,333.4
201,200,343.1
201,210,352.3
201,220,360.7
201,230,368.4
201,240,375.4
201,250,381.9
201,260,387.5
201,270,392.6
201,280,397.3
201,290,401.2
200,0,0
200,20,0
200,30,0.4
200,40,8.6
200,50,25.3
200,60,44
200,70,63.4
200,80,82.3
200,90,99.1
200,100,116.4
200,110,132.1
200,120,146.2
200,130,158.3
200,140,168.9
200,150,179.1
200,160,189.2
200,170,198.3
200,180,206.3
200,190,213.1
200,200,219.4
200,210,225.2
200,220,230.6
200,230,235.5
200,240,240
200,250,244.1
200,260,247.8
200,270,251
200,280,254
200,290,256.5
202,0,0
202,20,0
202,30,0.9
202,40,22
202,50,64.9
202,60,112.8
202,70,162.6
202,80,211.1
202,90,254.2
202,100,298.4
202,110,338.8
202,120,374.9
202,130,405.9
202,140,433
202,150,459.3
202,160,485.2
202,170,508.5
202,180,528.9
202,190,546.5
202,200,562.5
202,210,577.5
202,220,591.3
202,230,603.9
202,240,615.4
202,250,626
202,260,635.3
202,270,643.6
202,280,651.3
202,290,657.7
158,0,0
158,20,0
158,30,0.9
158,40,18
158,50,50.5
158,60,86
158,70,122.8
158,80,158.4
158,90,190.1
158,100,222.7
158,110,252
158,120,278.1
158,130,300.1
158,140,320
158,150,339.8
158,160,358.6
158,170,375.2
158,180,389.5
158,190,402.3
158,200,414.1
158,210,425.2
158,220,435.2
158,230,444.3
158,240,452.7
158,250,460.1
158,260,466.9
158,270,473.2
158,280,478.4
158,290,483.2
156,0,0
156,20,0
156,30,0.3
156,40,5.1
156,50,14.4
156,60,24.6
156,70,35.1
156,80,45.2
156,90,54.3
156,100,63.6
156,110,72
156,120,79.4
156,130,85.7
156,150,97.1
156,160,102.5
156,170,107.2
156,180,111.3
156,190,114.9
156,200,118.3
156,210,121.5
156,220,124.3
156,230,127
156,240,129.4
156,250,131.5
156,260,133.4
156,270,135.2
156,280,136.7
156,290,138.1
147,0,0
147,20,0
147,30,1.3
147,40,25.7
147,50,72.1
147,60,122.9
147,70,175.4
147,80,226.2
147,90,271.6
147,100,318.1
147,110,360
147,120,397.2
147,130,428.7
147,150,485.5
147,160,512.3
147,170,536
147,180,556.5
147,190,574.7
147,200,591.6
147,210,607.4
147,220,621.7
147,230,634.8
147,240,646.8
147,250,657.3
147,260,667
147,270,676
147,280,683.5
147,290,690.3
146,0,0
146,20,0
146,30,1.1
146,40,21.1
146,50,59.1
146,60,100.8
146,70,143.8
146,80,185.5
146,90,222.7
146,100,260.8
146,110,295.2
146,120,325.7
146,130,351.5
146,150,398.1
146,160,420.1
146,170,439.5
146,180,456.3
146,190,471.3
146,200,485.1
146,210,498.1
146,220,509.8
146,230,520.5
146,240,530.4
146,250,539
146,260,546.9
146,270,554.3
146,280,560.5
146,290,566
137,0,0
137,20,0
137,30,0.3
137,40,1.7
137,50,5.4
137,60,12.1
137,70,21.5
137,80,32.4
137,90,43.6
137,100,54.5
137,110,64.8
137,120,74.1
137,130,82.2
137,140,89
137,150,94.6
137,160,98.9
137,170,101.9
137,180,103.9
137,190,104.9
137,200,104.9
137,210,104.1
137,220,102.6
137,230,100.6
137,240,98
137,250,95.9
137,260,95.3
137,270,96.2
137,280,95.5
137,290,94.9
137,299,94.3
198,0,0
198,20,0
198,30,2.6
198,40,10.8
198,50,16.4
198,60,19.9
198,70,22.4
198,80,24.3
198,100,26.9
198,110,28
198,120,29
198,130,29.8
198,140,30.3
198,150,31
198,160,31.6
198,170,32.3
198,190,33.3
198,200,33.7
198,220,34.7
198,230,35.1
198,240,35.4
198,250,35.8
198,290,37
328,0,0
328,20,0
328,30,4.4
328,40,17.8
328,50,33.6
328,60,49.7
328,70,64.7
328,80,79.4
328,90,92.2
328,100,103.4
328,110,113.8
328,120,123.6
328,130,132.4
328,140,140.3
328,150,147.4
328,160,154.1
328,170,160.1
328,180,165.6
328,190,170.8
328,200,175.2
328,210,179.3
328,220,183
141,0,0
141,20,0
141,30,3
141,40,11.3
141,50,16.9
141,60,20.3
141,70,22.7
141,80,24.5
141,90,25.9
141,100,27.2
141,110,28.3
141,120,29.3
141,130,30
141,140,30.6
141,160,32
141,170,32.6
141,190,33.6
141,200,34
141,220,35
141,240,35.8
141,250,36.1
141,260,36.5
141,280,37.1
141,290,37.3
93,0,0
93,20,0
93,30,2.3
93,40,9.3
93,50,17.7
93,60,26.2
93,70,34.1
93,80,41.8
93,90,48.5
93,100,54.4
93,110,59.9
93,120,65
93,130,69.7
93,140,73.8
93,150,77.6
93,160,81.1
93,170,84.3
93,180,87.2
93,190,89.9
93,200,92.2
93,210,94.4
93,220,96.3
92,0,0
92,20,0
92,30,4.6
92,40,18.7
92,50,35.3
92,60,52.3
92,70,68.1
92,80,83.6
92,90,97.1
92,100,108.8
92,110,119.8
92,120,130.1
92,130,139.4
92,140,147.7
92,150,155.2
92,160,162.2
92,170,168.6
92,180,174.3
92,190,179.7
92,200,184.5
92,210,188.8
92,220,192.6
330,0,0
330,10,0
330,20,0.1
330,30,23
330,40,93.5
