TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
117,90,999,CC,false,113,A,0,0,,0,
119,80,999,CC,false,120,A,0,0,,0,
120,80,999,CC,false,120,A,0,0,,0,
122,80,999,CC,false,123,A,0,0,,0,
123,80,999,CC,false,123,A,0,0,,0,
125,100,999,CC,false,125,A,0,0,,0,
127,90,999,CC,false,127,A,0,0,,0,
127,40,40,CT,false,128,R,0,0,,0,
128,90,999,CC,false,127,A,0,0,,0,
128,56,56,F1,false,129,R,0,0,,0,
129,90,999,CC,false,127,A,0,0,,0,
129,66,66,F2,false,130,R,0,0,,0,
130,90,999,CC,false,127,A,0,0,,0,
130,76,76,F3,false,131,R,0,0,,0,
131,90,999,CC,false,127,A,0,0,,0,
133,100,999,CC,false,134,A,0,0,,0,
134,100,999,CC,false,134,A,0,0,,0,
136,80,999,CC,false,137,A,0,0,,0,
137,80,999,CC,false,137,A,0,0,,0,
139,100,999,CC,false,140,A,0,0,,0,
140,100,999,CC,false,140,A,0,0,,0,
140,40,40,CT,false,141,R,0,0,,0,
141,100,999,CC,false,140,A,0,0,,0,
141,66,66,F1,false,142,R,0,0,,0,
142,100,999,CC,false,140,A,0,0,,0,
142,76,76,F2,false,143,R,0,0,,0,
143,100,999,CC,false,140,A,0,0,,0,
143,86,86,F3,false,144,R,0,0,,0,
144,100,999,CC,false,140,A,0,0,,0,
146,100,999,CC,false,146,A,0,0,,0,
148,100,999,CC,false,148,A,0,0,,0,
150,90,999,CC,false,150,A,0,0,,0,
150,40,40,CT,false,151,R,0,0,,0,
151,90,999,CC,false,150,A,0,0,,0,
151,56,56,F1,false,152,R,0,0,,0,
152,90,999,CC,false,150,A,0,0,,0,
152,66,66,F2,false,153,R,0,0,,0,
153,90,999,CC,false,150,A,0,0,,0,
153,76,76,F3,false,154,R,0,0,,0,
154,90,999,CC,false,150,A,0,0,,0,
156,100,999,CC,false,157,A,0,0,,0,
157,100,999,CC,false,157,A,0,0,,0,
157,40,40,CT,false,158,R,0,0,,0,
158,100,999,CC,false,157,A,0,0,,0,
158,66,66,F1,false,159,R,0,0,,0,
159,100,999,CC,false,157,A,0,0,,0,
159,76,76,F2,false,160,R,0,0,,0,
160,100,999,CC,false,157,A,0,0,,0,
160,86,86,F3,false,161,R,0,0,,0,
161,100,999,CC,false,157,A,0,0,,0,
164,100,999,CC,false,165,A,0,0,,0,
165,100,999,CC,false,165,A,0,0,,0,
165,40,40,CT,false,166,R,0,0,,0,
166,100,999,CC,false,165,A,0,0,,0,
166,66,66,F1,false,167,R,0,0,,0,
167,100,999,CC,false,165,A,0,0,,0,
167,76,76,F2,false,168,R,0,0,,0,
168,100,999,CC,false,165,A,0,0,,0,
168,86,86,F3,false,169,R,0,0,,0,
169,100,999,CC,false,165,A,0,0,,0,
171,70,999,CC,false,171,A,0,0,,0,
173,70,999,CC,false,173,A,0,0,,0,
175,80,999,CC,false,175,A,0,0,,0,
177,70,999,CC,false,177,A,0,0,,0,
177,40,40,CT,false,178,R,0,0,,0,
178,70,999,CC,false,177,A,0,0,,0,
178,51,51,F1,false,179,R,0,0,,0,
179,70,999,CC,false,177,A,0,0,,0,
179,61,61,F2,false,180,R,0,0,,0,
180,70,999,CC,false,177,A,0,0,,0,
180,71,71,F3,false,181,R,0,0,,0,
181,70,999,CC,false,177,A,0,0,,0,
183,100,999,CC,false,184,A,0,0,,0,
184,100,999,CC,false,184,A,0,0,,0,
184,40,40,CT,false,185,R,0,0,,0,
185,100,999,CC,false,184,A,0,0,,0,
185,66,66,F1,false,186,R,0,0,,0,
186,100,999,CC,false,184,A,0,0,,0,
186,76,76,F2,false,187,R,0,0,,0,
